ETABLISSEMENTS;TYPE ETABLISSEMENTS;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;RECETTE FRAIS ETUDES;RECETTE TOTALE;DEPENSES PERSONNEL;DEPENSES NOURRITURE;DEPENSES FRAIS SERVICE;DEPENSES TOTAL;ELEVE INTERNE BOURSE NATIONALE;ELEVE INTERNE BOURSE DEPARTEMENTALE;ELEVE INTERNE BOURSE COMMUNALE;ELEVE INTERNE PENSION LIBRE;ELEVE INTERNE DEMI-PENSIONNAIRE;ELEVE INTERNES TOTAL;ELEVE EXTERNES LIBRE;ELEVE EXTERNES TOTAL;ELEVE CLASSIQUE MATHEMATIQUES ELEMENTAIRE;ELEVE CLASSIQUE PHILOSOPHIE NOUVEAU;ELEVE CLASSIQUE PHILOSOPHIE VETERAN;ELEVE CLASSIQUE RHETORIQUE NOUVEAU;ELEVE CLASSIQUE RHETORIQUE VETERAN;ELEVE EN CLASSIQUE 2;ELEVE EN CLASSIQUE 3;ELEVE EN CLASSIQUE 4;ELEVE EN CLASSIQUE 5;ELEVE EN CLASSIQUE 6;ELEVE EN CLASSIQUE 7;ELEVE EN CLASSIQUE 8;ELEVE CLASSIQUE CLASSE PRIMAIRE;ELEVE CLASSIQUE TOTAL;ELEVE ENSEIGNEMENT SPECIAL 1;ELEVE ENSEIGNEMENT SPECIAL 2;ELEVE ENSEIGNEMENT SPECIAL 3;ELEVE ENSEIGNEMENT SPECIAL 4;ELEVE ENSEIGNEMENT SPECIAL 5;ELEVE ENSEIGNEMENT SPECIAL 6;ELEVE ENSEIGNEMENT SPECIAL TOTAL;ELEVE TOTAL GENERAL
VILLEFR-SUR-SAONE;college;9320;1735;7585;6814;43204;22800;13725;2800;39325;9;4;2;32;14;61;50;50;0;0;0;0;0;0;0;5;6;4;8;11;14;34;31;15;11;4;2;0;63;111
AGDE;college;1632.3699999999999;630.89999999999998;1001.47;8428;37912;32052.02;3190;1000;36242;0;0;0;7;3;10;101;110;7;0;0;0;0;6;0;4;5;8;10;16;48;56;6;5;5;0;0;0;16;120
ALAIS(G);college;4200;2000;2200;16000;83350;49000;24000;7000;80000;16;0;0;52;7;75;163;165;12;0;0;0;0;0;0;12;5;11;18;15;27;73;52;40;27;11;10;0;140;240
BEDARIEUX;college;2703.5799999999999;802.36000000000001;1901.22;13100;55030;33150;16780;4100;54030;2;8;0;33;2;45;84;86;7;2;1;7;2;1;8;13;11;12;10;11;15;85;13;10;8;0;0;0;31;131
BEZIERS(G);college;10800;4000;6800;36090;210094;120410.83;58697.949999999997;32984.940000000002;212094;8;5;4;154;22;194;270;284;22;9;0;20;1;21;26;33;33;41;43;64;54;313;61;32;12;5;1;0;111;478
CASTELNAUDARY;college;3852.23;1478.71;2373.52;6268;50225;31100;16765;1850;49715;10;1;2;30;2;45;179;179;7;0;0;7;0;0;3;4;8;7;7;31;81;74;21;21;15;12;0;0;69;224
CETTE;college;7722;1693;6029;29515;118130;81960;25000;6770;113730;3;0;0;40;37;80;227;247;10;0;2;4;2;9;16;13;17;19;37;29;90;158;32;28;15;3;1;0;79;327
CLERMONT-L'HERAUL;college;3097.3499999999999;1423.75;1673.5999999999999;5315.5500000000002;34202;26750;4200;2352.1399999999999;33302;1;3;0;3;5;12;80;84;12;0;0;1;0;2;6;2;1;4;9;12;25;49;18;4;0;0;0;0;22;96
LODEVE;college;2961;642;2319;5055;37210;28250;6600;1550;36400;3;1;0;7;1;12;66;74;8;1;0;2;3;3;2;4;9;9;10;6;13;57;7;4;5;0;0;0;16;86
LUNEL;college;3928;822;3106;5683.5;29010;18600;8500;870;27970;4;2;0;14;0;20;44;62;14;0;0;0;0;0;0;4;7;4;0;0;18;29;15;12;8;0;0;0;35;82
MENDE;college;2990;1390;1600;9000;67950;39500;22320;1280;63100;16;9;0;33;0;58;40;60;4;1;0;5;2;5;10;7;9;16;10;0;11;69;8;12;17;1;0;0;38;118
NARBONNE;college;16245;6000;10245;2893;26218;13458.07;4592.2399999999998;4019.2399999999998;22070;3;0;0;46;19;68;91;96;3;3;0;2;0;0;4;5;10;10;28;27;35;92;23;14;0;0;0;0;37;164
PERPIGNAN;college;4957;2593;2364;18179.669999999998;227896;120914.34;82690.919999999998;24290.560000000001;227896;14;22;1;219;17;273;221;235;26;8;1;10;2;23;26;33;41;32;27;20;105;249;49;40;27;19;14;5;154;508
PEZENAS;college;7499.04;2235.9400000000001;5263.1000000000004;9090;74975;41300;26625;4050;71975;12;5;0;55;2;74;87;90;13;3;0;1;1;5;4;7;9;10;13;11;47;77;19;13;8;0;0;0;40;164
UZES;college;4879.04;977.08000000000004;3901.96;2040;38875;24875;11000;2000;37875;8;0;0;20;0;28;36;36;2;1;0;6;0;2;5;2;5;6;3;4;1;36;5;10;10;2;0;0;27;64
VIGAN(LE);college;675;325;350;2500;15000;9800;4000;1200;15000;0;0;0;16;0;16;29;37;2;0;0;0;0;0;2;4;2;3;4;2;8;19;5;8;8;5;0;0;26;53
BRUYERES;college;619;482;137;1121;21831;13700;6600;550;20850;1;0;0;14;10;25;19;22;0;0;0;0;0;0;0;0;0;0;0;0;19;0;12;6;4;3;3;0;28;47
COMMERCY;college;5791;2291;3500;3620.9000000000001;42690;19563.740000000002;11000;5125.9300000000003;35690;7;0;0;13;1;22;53;71;7;0;0;0;0;2;0;4;0;4;3;4;16;24;17;18;10;8;0;0;53;93
EPINAL;college;5004;2527;2477;15826;136897;84392.509999999995;36348.5;16155.74;136897;13;10;0;65;9;105;143;180;17;7;0;4;0;13;15;15;15;19;16;16;10;137;49;42;25;18;4;0;138;285
ETAIN;college;7500;720;6780;3095;19099;16360;2600;647.29999999999995;19607;2;0;0;5;1;8;36;45;0;0;0;0;0;0;0;0;1;6;0;6;14;13;14;0;7;5;0;0;26;53
LONGWY;college;1285;510;775;8360;30150;17950;8500;2600;29050;1;0;0;19;10;30;61;73;12;0;0;0;0;0;0;4;7;12;5;6;6;46;11;15;13;8;4;0;51;103
LUNEVILLE;college;7692;3036;4656;19748;119838;54266.529999999999;33513.489999999998;17678.48;105459;20;1;11;85;17;134;110;138;69;4;1;8;4;8;14;10;15;14;8;8;5;163;19;38;30;17;0;0;104;272
MIRECOURT;college;1348;580;768;4020;35475;22390;8500;750;31640;4;0;0;23;5;32;47;58;1;0;0;2;0;0;5;2;7;3;6;8;10;34;25;11;8;0;0;2;46;90
NEUFCHATEAU;college;4000;1280;2720;9063;62534;35190;23000;1744;59934;9;0;0;37;6;52;87;95;13;1;1;6;3;3;8;6;6;10;8;7;30;72;19;18;8;0;0;0;45;147
PONT-A-MOUSSON;college;8710;5350;3360;14920;93068;44822.089999999997;27341.029999999999;10905.620000000001;83069;13;3;0;50;13;82;79;100;17;3;0;4;2;6;6;13;12;12;11;9;4;95;22;32;15;9;3;2;83;182
REMIREMONT;college;3400;1575;1825;8222.5;95127;63837.260000000002;23017.700000000001;8271.9599999999991;95127;17;0;0;52;7;76;81;99;9;8;2;6;2;6;9;13;8;6;9;11;12;89;20;23;14;11;6;0;74;175
SAINT-DIE;college;2671.6199999999999;1061.71;1609.9100000000001;11362;66800;44129.440000000002;15460;3760.0799999999999;63350;10;0;0;29;3;42;114;116;13;4;0;3;3;2;10;10;9;15;8;16;12;93;26;13;8;5;1;0;53;158
SAINT-MIHIEL;college;2307;829.89999999999998;1477.0999999999999;5460;46650;26200;16200;2050;44450;10;0;0;30;2;42;48;58;7;2;0;4;0;3;2;6;6;11;8;4;10;53;16;9;6;6;0;0;37;100
TOUL;college;7146;1541;5605;10342;63420;44048;13465;4872;62385;9;1;0;17;7;37;103;144;22;3;2;2;2;2;10;12;10;11;14;9;28;99;23;21;6;4;0;0;54;181
VERDUN;college;8163;4025;4138;14221.75;107451;66001.179999999993;25064.740000000002;16384.84;107451;11;0;1;68;13;93;132;155;29;6;1;3;6;4;17;13;18;14;16;25;43;152;16;28;9;0;0;0;53;248
BARBEZIEUX;college;4344;2687;1657;5723;38739;21166.860000000001;14400;2200;37767;2;0;0;40;1;43;50;59;18;0;0;0;0;0;0;9;8;10;14;6;12;65;4;13;6;2;0;0;25;102
BLANC(LE);college;1847;643.26999999999998;1203.73;2900;2290000;15000;3800;2600;21400;1;0;0;12;2;15;57;64;0;0;0;0;0;0;0;4;4;3;4;7;35;22;15;7;0;0;0;0;22;79
CHATELLERAULT;college;6414;1812;4602;16885;105045;49000;40000;8200;97200;8;0;4;67;14;93;100;102;5;1;1;7;2;9;13;15;15;4;15;14;39;101;23;17;8;7;0;0;55;195
CHATRE(LA);college;2436;886;1550;4840;42029;20500;18000;1500;40000;1;0;0;47;2;50;85;85;0;0;0;0;0;0;0;5;3;4;20;17;31;49;15;16;12;7;3;2;55;135
CHINON;college;3700;2450;1250;3800;34170;20050;10020;2150;32220;1;0;0;28;3;32;29;34;2;1;0;2;0;0;3;5;8;0;7;2;10;30;13;10;3;0;0;0;26;66
CIVRAY;college;2850;1100;1750;2874;35124;14600;13500;5524;33624;6;0;0;36;6;48;6;35;0;3;0;0;0;3;3;8;3;7;0;0;19;27;14;7;5;7;4;0;37;75
COGNAC;college;12500;1659;10841;17600;72950;42255;21000;8170;71425;5;0;0;50;15;70;136;136;14;2;0;6;0;5;10;6;16;11;19;19;48;108;28;17;5;0;0;0;50;206
CONFOLENS;college;2664;887;1777;2470;22510;15500;4780;930;21210;0;0;0;11;1;12;26;37;0;0;0;0;0;0;1;5;4;4;6;6;12;26;8;3;0;0;0;0;11;49
EYMOUTIERS;college;1105;410;695;1015;14500;13200;1300;600;15100;0;0;0;3;0;3;35;55;0;0;0;0;0;0;0;0;1;2;6;5;32;14;7;5;0;0;0;0;12;58
FONTENAY-LE-COMTE;college;24000;3200;20800;3200;58675;38225;12000;4500;54725;5;0;0;30;10;45;91;91;7;4;1;7;1;6;8;13;7;14;6;4;10;78;13;12;18;5;0;0;48;136
ISSOUDUN;college;3584;687;2897;4321.5;48036;26500;16800;4000;47300;1;0;0;36;3;40;66;100;10;0;0;0;0;0;7;9;4;10;16;10;26;66;20;12;11;5;0;0;48;140
LOUDUN;college;2510;768;1742;6100;34000;16000;12000;3000;31000;1;0;0;34;8;46;50;51;7;0;0;2;0;1;3;11;5;8;3;1;15;41;13;12;3;2;11;0;41;97
